Post Date,Incident date,Title,Civilians reported killed,Location,Airwars ref code,Airwars link,lat,lon,Footage link,Timestamp of clip,Clip uploaded to Google Drive,Notes,direction,Unmatched ID,Group ID,External Geolocation Credit,,Review 01/10/2024
October 8 2023,October 8 2023,Strike on Younis family home,6,"Nuseirat camp, Deir al Balah",ISPT0036,https://airwars.org/civilian-casualties/ispt0036-october-8-2023/,31.458824,34.389414,https://twitter.com/IAFsite/status/1710905079568445844?s=20,0:00,TRUE,,left,,,,,
October 8 2023,October 8 2023,Strike on Yarmouk mosque,Unknown,"Yarmouk Mosque, Gaza",ISPT0022 ,https://airwars.org/civilian-casualties/ispt0022-october-8-2023/,31.522629,34.462894,https://twitter.com/IAFsite/status/1711487389057642916,0:00,TRUE,,right-2,,,,,"Coordinates are wrong. Should be changed to: 31.522629, 34.462894"
October 9 2023,October 9 2023,Strike on al Sousi mosque,10,"al Shati camp, Gaza",ISPT0063,https://airwars.org/civilian-casualties/ispt0063-october-9-2023/,31.529549,34.447078,https://twitter.com/idfonline/status/1711386733047062987,0:12,TRUE,,top,,,,,
October 12 2023,October 12 2023,Strike on Kafina family home,2,"Nuseirat Camp, Deir al Balah","ISPT0155
",https://airwars.org/civilian-casualties/ispt0155-october-12-2023/,31.441022,34.382483,https://twitter.com/IAFsite/status/1712572688588316727?s=20,0:00-0:06,TRUE,,left,,,,,
October 12 2023,October 12 2023,Strike on al Zamili family home,9,"Vicinity of al Bahabsa Mosque, Rafah",ISPT0173,https://airwars.org/civilian-casualties/ispt0173-october-12-2023/,31.266549,34.261689,https://x.com/IAFsite/status/1712701422829985844,Left video: 0:12,TRUE,,top,,,,,
October 12,October 12 2023,Strike on Hamad Towers apartments,3,"Tower G6, Hamad Town Towers, Khan Younis",ISPT0149,https://airwars.org/civilian-casualties/ispt0149-october-12-2023/,31.377384000000,34.318570000000,https://twitter.com/IAFsite/status/1712701422829985844,left: 0:17-0:21,TRUE,,left,,,,,"Coordinates are 20 metres off - should be changed to: 31.377384, 34.318570
"
October 14 2023,October 14 2023,Strike on al Herbawi family home,34,"Vicinity of al Fakhoura School, North Gaza",ISPT0194,https://airwars.org/civilian-casualties/ispt0194-october-14-2023/,31.542994,34.4943,https://twitter.com/IAFsite/status/1713308102915772702,1:33,TRUE,,top,,,,,
October 15 2023,October 15 2023,Strike on Ramlawi family home,4,"Vicinity of al Ghafri Junction, Gaza","ISPT0215
",https://airwars.org/civilian-casualties/ispt0215-october-15-2023/ ,31.524154,34.461848,https://x.com/IAFsite/status/1713639432912257302?s=20 ,00:00-00:09,TRUE,,top,,,https://x.com/RhinozzCode,,
October 16 2023,October 16 2023,Strike on Abi Hassanein family home,2,"Nuseirat camp, Deir al Balah","ISPT0275
",https://airwars.org/civilian-casualties/ispt0275-october-16-2023/,31.437817,34.388418,https://twitter.com/IAFsite/status/1714136061289300196,0:05,TRUE,,right,,,,,
October 16 2023,October 16 2023,Strike on al Arair family home,20,"al Khalayel Road, Gaza","ISPT0266
",https://airwars.org/civilian-casualties/ispt0266-october-16-2023/,31.497167000000,34.471646000000,https://twitter.com/IAFsite/status/1714136061289300196 ,0:14,TRUE,,left,,,,,
"October 17, 2023","October 17, 2023",Strike on Hamas militant Ayman Nofal,92,"Bureij camp, Deir al Balah",ISPT0280,https://airwars.org/civilian-casualties/ispt0280-october-17-2023/,31.442202,34.400014,https://x.com/IDF/status/1714289932842488024,0:00,TRUE,,right-1,,,,,
"October 18, 2023","October 18, 2023",Strike on Abu Ishaq and Fafsis family homes,26,"Vicinity of Bani Suhaila cemetery, Khan Younis",ISPT0352 ,https://airwars.org/civilian-casualties/ispt0352-october-18-2023/,31.339996,34.324402,https://twitter.com/IAFsite/status/1715105885180109031,0:00,TRUE,,left,,,,,
"October 18, 2023","October 18, 2023",Strike on Hammad family home,2,"al Alami neighbourhood, Gaza",ISPT0358 ,https://airwars.org/civilian-casualties/ispt0358-october-18-2023/,31.537166,34.500485,https://twitter.com/IAFsite/status/1714926456109666651,0:10,TRUE,,right-2,,,,,
October 23 2023,October 21 2023,Strike on Abu Assad family home,7,"Abu Assad Street, Deir al Balah",ISPT0446,https://airwars.org/civilian-casualties/ispt0446-october-21-2023/,31.418431,34.355579,https://www.youtube.com/watch?v=c6j0wrc1mXw,0:12,TRUE,,right,,,,,
